Dataset,Model,RMSE,NASA
FD001,LSTM,41.59130522022451,10779.591187591317
FD001,GRU,13.464465811892033,290.4343298940616
FD001,CNN-LSTM,14.751943169308504,374.4804011474487
FD002,LSTM,54.19744493155904,134454.26276203245
FD002,GRU,30.8007869471301,13130.528379138992
FD002,CNN-LSTM,54.18447448661494,134129.74008103836
FD003,LSTM,42.54012926233593,26686.62002586603
FD003,GRU,14.421310000444004,297.6669201777264
FD003,CNN-LSTM,15.708949285247705,609.4143288853099
FD004,LSTM,41.21431191753585,118504.20691790793
FD004,GRU,32.05945404634957,13802.159907419058
FD004,CNN-LSTM,29.868169410683883,7498.303530407209
